comment_text,author,likes,published_at,channel_id,reply_count
뭐 이게.. 마인크래프트 진짜 애니메이션.. 뭐 우리 그냥 우리 보면 봤어!!,@nigelsy4427,0,2025-01-26 03:20:17+00:00,UC8ZDPoh1udUaSI0Hgr_pOQg,0
this seems like the perfect movie to watch while drunk,@gingerfool,1,2025-01-26 15:16:48+00:00,UCtyjg6audMiphHAFWykxfcw,0
"the line ""as a child, i yearned for the mines"" had me and my brother absolutely losing it when this played in the theater. and it can't help but make me think: ok, maybe this movie won't be that bad",@_harpollo_,0,2025-01-26 22:29:31+00:00,UCEnHNpcKrnrT-IkQcDUAZlw,0
I may boycott it in protest for this movie is clearly based on the inferior bedrock edition. SHAME! SHAME! SHAME!,@tfduleadership,1,2025-01-27 02:43:42+00:00,UCfNjToHekEWq73r4_nWtIRw,0
Steve es un zombie curado o eso creo no una persona de otra dimension externa a minecraft,@PabloCorbalan-nm3zw,0,2025-01-27 13:28:26+00:00,UC3X8Spta56VVZGTWJSDldqw,0
1:33 they haven't notice one thing that when piglins comes to overworld they bacomes into zombie fight piglin!!,@isuckateverygame-89,0,2025-01-27 15:33:02+00:00,UCbDIm0gLRAo3NPg8C7_ssUg,0
I finally realized something. The reason it isnt based on the dragon is because steve already killed it! Hence why they have elytras,@notDonixx,0,2025-01-27 20:57:27+00:00,UCOi-LTL1vDzVvzvNv3eyVWw,0
I finally realized something. The reason it isnt based on the dragon is because steve already killed it! Hence why they have elytras,@notDonixx,0,2025-01-27 20:57:39+00:00,UCOi-LTL1vDzVvzvNv3eyVWw,0
You guys are genuinely destroying Minecraft and Jack Black's name,@Sabengtung,0,2025-01-28 00:51:52+00:00,UC-qkgy05gP1n9TRuBKPKxfQ,1
Anyone gonna mention how Jack Black was just lured to the mines by the tesseract?,@austinmuse140,2,2025-01-28 03:32:01+00:00,UCZ2zPIF4ZF6_KvkkYk2cyiw,0
so excited to see what they got in store w this movie,@brownie4more,0,2025-01-28 12:05:59+00:00,UCAdZzKF65jcAPXiSmfFffVw,0
"It still looks meh. I feel bad for all the talented creative involved who had their hard work turned to, basically slop.",@bushybeardedbear,1,2025-01-28 19:58:18+00:00,UCZlMyHey7sEC9zBW5Dp5e6Q,0
